Symbol,Retinal_Cell_Type_Rob,Notes_on_Evidence_Source_Cell_Type
Gm37509,"Muller,  high THY1/CD15 ratio",RGC high THY/CD ratio
Rlbp1,"Muller,  high THY1/CD15 ratio","Many refs, (Bunt-Milam and Saari, 1983) but obviously not specific to Muller glia. Tran and Sanes 2019"
Aqp4,"Muller,  high THY1/CD15 ratio","Many, Chintalapudi 2015, Tran and Sanes 2019"
Hopx,"Muller candidate, high THY1/CD15 ratio","RGC high THY/CD ratio, apoptosis related, Howell stress marker with lower expression in D2 at early stage of disease"
Pla2g16,"Astrocyte, stress","Macosko considers a astrocyte marker, but RGC high THY/CD ratio, a Howell stress marker with higher expression in D2 at early stage of disease"
Nrl,"Photoreceptor, THY/CD ratio",Macosko as rod photoceptor marker. High THY/CD ratio (2.6) in our single cell RNAseq but very low RGC:retina ratio in Geisert RNA seq data (0.05)
Kdr,"Muller,  high THY1/CD15 ratio",SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Snhg18,"Muller candidate, high THY1/CD15 ratio",High THY/CD ratio
Prph2,"Photoreceptor, high THY1/CD15 ratio",High THY/CD ratio
Frzb,"RGC high THY/CD ratio, stress, Muller",High THY/CD ratio. Howell stress marker with higher expression in D2 at early stage of disease
St8sia2,"RGC high THY/CD ratio, stress","High THY/CD ratio, toll-like receptor 4 signaling pathway"
Timp3,"Muller, astrocyte",High THY1/CD15 ratio
Nr2e1,RGC high THY/CD ratio,RGC high THY/CD ratio
Ctgf,"RGC high THY/CD ratio, stress","Macosko as amacrine cell marker but RGC high THY/CD ratio, Howell shows lower expression in D2 retina glaucoma whan wildtype GPNMB as early stages"
0610009E02Rik,RGC high THY/CD ratio,RGC high THY/CD ratio
Gm13568,RGC high THY/CD ratio,RGC high THY/CD ratio
Cxcl16,"RGC high THY/CD ratio, stress","RGC high THY/CD ratio, Howell stress marker with higher expression in D2 at early stage of disease"
Mir204,"RGC high THY/CD ratio, stress",Apparently pro-apoptoci MRI. Third highest THY/CD ratio of transcripts.  Possible role of miR-204 in optic nerve injury through the regulation of GAP-43 (PMID:29286154. High expression in rat retinal damage associate with lower GAP43 expression. Possible links to innate immune TLR4 pathways.
Il33,"Muller,  high THY1/CD15 ratio","Macosko as Muller cell, has high THY1/CD15 ratio"
Fxyd3,RGC high THY/CD ratio,RGC high THY/CD ratio
Lgi4,RGC high THY/CD ratio,RGC high THY/CD ratio
Greb1,"RGC high THY/CD ratio, stress","RGC high THY/CD ratio, Howell stress marker with higher expression in D2 at early stage of disease"
Hey2,"RGC high THY/CD ratio, stress",RGC high THY/CD ratio. Howell shows this gene upregualted in early glaucoma
S100a16,"RGC high THY/CD ratio, stress","RGC high THY/CD ratio, Howell stress marker with higher expression in D2 at early stage of disease"
Notch1,"RGC high THY/CD ratio, endothelium",Endotelial marker )http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0112175) but high THY1/CD15 ratio
Scara3,"RGC high THY/CD ratio, stress, Muller",RGC high THY/CD ratio. Howell shows this gene upregualted in early glaucoma
Qrfpr,RGC master,"Rheaume RGC_Type_19, RGC high THY/CD ratio"
Pbxip1,"RGC high THY/CD ratio, stress, Muller","RGC high THY/CD ratio, Howell stress marker with higher expression in D2 at early stage of disease"
Dio2,"RGC high THY/CD ratio, stress","Macosko as astrocyte cell marker, but RGC high THY/CD ratio, Howell shows lower expression in D2 retina glaucoma whan wildtype GPNMB as early stages"
Fosb,"RGC housekeeping, stress",Macosko 2015 PC11
Plac9b,RGC high THY/CD ratio,RGC high THY/CD ratio
S1pr3,"RGC high THY/CD ratio, pericyte",RGC high THY/CD ratio
Rdh10,"RGC candidate, stress, Muller","RGC high THY/CD ratio, Howell stress marker with higher expression in D2 at early stage of disease"
Spc25,"Housekeeping, Muller","Classic Muller cell marker (along with Aqp4, Clu, Kir4.1/Kcnj10, S100a16, CRALBP-1/Rlbp1, GS/Glul, Dkk3, Chx-10/Vsx2, Spbc25/Spc25, GPR37, and Car2). Highly enriched THY1-bead pulldown expression, high RGC/retina ratio. Very well expressed in all plates and probably in cell types, therefore considered a housekeeping gene"
Ppil6,"RGC high THY/CD ratio, stress","RGC high THY/CD ratio, Howell stress marker with higher expression in D2 at early stage of disease"
Pon2,"RGC high THY/CD ratio, Muller",Howell stress marker with lower expression in D2 at early stage of disease
Plac9a,RGC high THY/CD ratio,RGC high THY/CD ratio
Mfap3l,,
Aldh1a1,"RGC master, Muller, fibroblast","Conflict with Rheaume, RGC_Type_25, Many, Chintalapudi 2015 supports RGC, we support by relatively high THY1/CD15 ratio"
Sag,"Photoreceptor, rod","Geisert, SY_informative"
Maff,RGC high THY/CD ratio,RGC high THY/CD ratio
Snord123,RGC high THY/CD ratio,RGC high THY/CD ratio.  Located near SEMA5a. Not much known about this gene.
Cyp2d22,"RGC high THY/CD ratio, stress","RGC high THY/CD ratio, stress"
Dapl1,"Muller, fibroblast",
Gm9780,RGC high THY/CD ratio,RGC high THY/CD ratio
A730017C20Rik,,
Hps3,,
Acsl3,"RGC housekeeping, stress",Not known
Zfp36l2,RGC high THY/CD ratio,RGC high THY/CD ratio
Zfp36,"RGC candidate, stress","Macosko 2015 PC11, SY_informative"
Prss56,"RGC high THY/CD ratio, microglia, stress",RGC high THY/CD ratio
Srf,RGC high THY/CD ratio,"RGC high THY/CD ratio, Howell stress marker with higher expression in D2 at early stage of disease"
Gldc,Fibroblast,
Sbspon,"RGC high THY/CD ratio, stress, Muller",RGC high THY/CD ratio
Epas1,Astrocyte,
Efemp1,,
Cp,"Housekeeping, stress, Muller, astrocyte, fibroblast",Macosko PC1.1
Gm29530,RGC high THY/CD ratio,RGC high THY/CD ratio
Vim,"Housekeeping, stress, RGC, horizontal, Muller, astrocyte","Many, Chintalapudi 2015"
Dusp1,"RGC candidate Muller, microglia",Geisert
Slc14a1,"RGC high THY/CD ratio, stress",RGC high THY/CD ratio. Howell shows this gene upregualted in early glaucoma
Sfxn5,,
Gm26532,RGC candidate,RGC high THY/CD ratio
Slc24a1,"Photoreceptor, rod",
Ctso,"RGC high THY/CD ratio, stress","RGC high THY/CD ratio, Howell stress marker with higher expression in D2 at early stage of disease"
Nr4a3,RGC master,"Rheaume RGC_Type_25, RGC high THY/CD ratio, stress "
Adamts1,"RGC candidate, stress",
Gm26512,RGC high THY/CD ratio,RGC high THY/CD ratio
Nostrin,RGC high THY/CD ratio,RGC high THY/CD ratio
Gm13554,RGC high THY/CD ratio,RGC high THY/CD ratio
Aif1l,RGC high THY/CD ratio,RGC high THY/CD ratio
Ndrg2,"Muller, astrocyte",
Guca1b,"RGC master, photoreceptor","RGC_Type_33, Howes et al., 1998, but known to be strong photoreceptor too, good RGC enrichment in Geisert"
Pdlim4,"RGC high THY/CD ratio, stress","RGC high THY/CD ratio, Howell shows higher expression in D2 retina glaucoma whan wildtype GPNMB as early sgages"
Hkdc1,RGC high THY/CD ratio,RGC high THY/CD ratio
Fxyd6,"RGC high THY/CD ratio, stress, amacrine","Macosko as amacrine cell marker. RGC high THY/CD ratio, higher expression in DBA/2J retina early in glaucoma"
Gm2115,RGC master,"RGC_Type_39, RGC high THY/CD ratio"
Dhx57,,
Slitrk2,RGC candidate Dec18,
Hopxos,RGC high THY/CD ratio,RGC high THY/CD ratio
Tril,"RGC high THY/CD ratio, stress","RGC high THY/CD ratio, Howell shows higher expression in D2 retina glaucoma whan wildtype GPNMB as early stages"
Hrsp12,RGC high THY/CD ratio,RGC high THY/CD ratio
Bysl,,
Tox3,,
4-Sep,"Pericyte, horizontal",
Add3,"RGC candidate Dec18, astrocyte",
Cnga1,"Photoreceptor, RGC, mixed",Not a good rod photoreceptor marker
Ptch1,RGC candidate Dec18,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Rom1,"RGC candidate, mixed photoreceptor, rod","Bascom et al., 1992"
Faap24,RGC high THY/CD ratio,RGC high THY/CD ratio
Ogfrl1,"RGC mixed, amacrine, horizontal","Highly enriched RGC expression relative whole retina in Geisert data, "
mt-Ts2,"RGC candidate, stressed","SY TSNE cluster 70L, very high RGC/retina enrichment from Geisert, high expression, but generic transcript"
Hebp2,"RGC high THY/CD ratio, stress","RGC high THY/CD ratio, Howell shows this gene upregualted in early glaucoma"
Ttyh1,"Muller, bipolar",
Acadl,RGC high THY/CD ratio,RGC high THY/CD ratio
Gpld1,,
D030047H15Rik,,
Vsx2,"bipolar cell, RGC mixed, stresed, photoreceptor","Shekar 2016 reference gene for bipolar. Also bipolar in Tran and Sanes 2019 with Otx2.  Geisert, covaries with ISL1 in Pinelli. GENSAT shows distinct but small subpopulation of RGCs in optic tract, some arborizing in LGN and medial parts of SC. High RGC/retina enrichment in Geisert supports RGC subpopulation."
Adamts5,RGC master,RGC_Type_19 
Gas1,"RGC master, Muller, fibroblast","Conflict with Rheaume, RGC_Type_28, with Macosko fibroblast"
Omg,"RGC high THY/CD ratio, stress",good THY1/CD15 ratio
Mzt2,RGC candidate,good THY1/CD15 ratio
Lman1,Astrocyte,
Hist1h2bg,RGC high THY/CD ratio,RGC high THY/CD ratio
D630033O11Rik,"RGC master, stress","RGC_Type_19, Howell stress marker with lower expression in D2 at early stage of disease, good  THY/CD ratio"
Cryab,"RGC housekeeping, stress, Muller, astrocyte",
Elovl5,,
Abhd4,"RGC high THY/CD ratio, stress, astrocyte","Masosko as astrocyte marker but RGC high THY/CD ratio, Howell shows higher expression in D2 retina glaucoma whan wildtype GPNMB as early stages"
Ifrd1,,
RP24-448C16.7,RGC high THY/CD ratio,RGC high THY/CD ratio
Gstt1,,
Anxa5,"RGC candidate, stress, astrocyte",
Gstt3,RGC high THY/CD ratio,RGC high THY/CD ratio
Ddah2,,
Lypd6,,
Id2,"RGC high THY/CD ratio, stress, Muller, astrocyte","Macosko at Muller and astrocyte marker, low Geisert RGC/retina ratio but good THY1/CD15 ratio"
Junb,IER,Macosko 2015 PC11
Ninj1,"RGC high THY/CD ratio, stress","RGC high THY/CD ratio, Howell stress marker with higher expression in D2 at early stage of disease, negative regulation of toll-like receptor signaling pathway"
C630043F03Rik,RGC high THY/CD ratio,RGC high THY/CD ratio
Col23a1,"RGC master, stress, amacrine","Conflict with Rheaume, RGC_Type_16, Macosko as adult amacrine cell marker"
Fgfr1,"RGC high THY/CD ratio, stress","RGC high THY/CD ratio, Howell stress marker with lower expression in D2 at early stage of disease"
Tes,"RGC high THY/CD ratio, astrocyte","high covariation with RBPMS in Langer RGC-like stem, conflict with Macosko, RGC high THY/CD ratio"
Tes,"RGC mixed, astrocyte","Astrocyte marker, but moderate RGC/retina enrichment"
Irf1,,
Egr2,"RGC high THY/CD ratio, stress","RGC high THY/CD ratio, Howell stress marker with higher expression in D2 at early stage of disease"
Gm20732,RGC candidate Dec18,
Crb2,"RGC high THY/CD ratio, stress","good THY1/CD15 ratio, but low Geisert RGC/retina ratio"
Creb3l2,RGC master,RGC_Type_16
Hist1h2bc,Housekeeping,
S100a1,,
Nr1h4,"RGC high THY/CD ratio, stress","RGC high THY/CD ratio, Howell stress marker with higher expression in D2 at early stage of disease"
Morn2,"RGC high THY/CD ratio, stress","RGC high THY/CD ratio, Howell stress marker with higher expression in D2 at early stage of disease"
Lipg,"RGC high THY/CD ratio, stress","RGC high THY/CD ratio, Howell shows lower expression in D2 retina glaucoma whan wildtype GPNMB as early stages"
Acaa2,RGC candidate Dec18,
Arid5a,RGC high THY/CD ratio,RGC high THY/CD ratio
Ptn,Amacrine,"Macosko 2015 as amacrine cell marker but usually high THY1 versus CD15 ratio, suggets may also be RGC marker. Or may be THY1+ amacrine cell marker"
Nfkbiz,,
Ppp1r15a,IER,Macosko 2015 PC11
Prkag3,RGC high THY/CD ratio,RGC high THY/CD ratio
Prss23,"RGC high THY/CD ratio, stress","RGC high THY/CD ratio. Not much known about this protease, but expressed in ovary and upregulated in proliferating cells. Howell shows this gene upregualted in early glaucoma"
Flna,Pericyte,
Epb4.1l2,Housekeeping,
Sulf1,"RGC candidate, stress",
Slc1a3,"Housekeeping, amacrine, Muller, astrocyte","Many, Chintalapudi 2015; amacrine cell marker: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2904021/"
Dnajb1,,
Pttg1ip,,
Gng11,"RGC high THY/CD ratio, fibroblast",good THY1/CD15 ratio
Plekho2,RGC candidate Dec18,
Apoc1,RGC high THY/CD ratio,good THY1/CD15 ratio
Clu,"Housekeeping, stress, Muller, astrocyte, fibroblast",SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Rtn4,"Housekeeping, Muller",RGC candidate based on SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Lgals2,RGC high THY/CD ratio,RGC high THY/CD ratio
Folh1,,
Cyp27a1,,
Sparc,"Muller, astrocyte",
Hes1,"Housekeeping, RGC, Muller, astrocyte","Conflict with Rheaume, their RGC_Type19, but this is a very widely expressed housekeeping gene with high expression in Muller, astrocyte, fibroblast, http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0112175"
Egr1,"Housekeeping, stress, Muller, microglia","PMID or Geisert, Macosko 2015 PC11"
Sorl1,,
Fos,"Housekeeping, stress, Muller, miicroglia","Immediate early gene, Macosko 2015 PC11"
Gm21954,RGC high THY/CD ratio,good THY1/CD15 ratio
Rcvrn,"Photoreceptor, RGC, mixed","Many, e.g. Chintalapudi 2016"
Slmap,"Housekeeping, Muller",
Tcf7l2,RGC master,Relatively high THY1/CD15 ratio.. RGC_Type_23
Rhpn2,,
Ndnf,"RGC mixed, Bipolar",Strong labeling of RGC subpopulation in GENSAT with heavy projection to superior colliculus. High RGC/retina enrichment.
Vcl,Housekeeping,
Gm27151,RGC master,RGC_Type_16
Nin,,
Rab13,,
Cdc42ep1,"RGC high THY/CD ratio, stress","RGC high THY/CD ratio, negative regulation of axon regeneration"
Fads3,"RGC high THY/CD ratio, stress","SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75, RGC high THY/CD ratio, Howell stress marker with higher expression in D2 at early stage of disease"
Efhd1,"RGC candidate, stress",
Gulo,RGC high THY/CD ratio,RGC high THY/CD ratio
Gm37419,,
C130023A14Rik,RGC high THY/CD ratio,RGC high THY/CD ratio
Slc7a2,,
Guca1a,"Photoreceptor, RGC, mixed","Subbaraya et al., 1994)"
Pygl,RGC high THY/CD ratio,RGC high THY/CD ratio
Garem,,
Ap4s1,,
Bves,,
Megf10,Amarcine,"Starburst amacrine cell (Kay and Sanes, 2012), BXD_Amarcine "
Cpeb1,,
Ier2,"RGC housekeeping, stress",Macosko 2015 PC11
Il15,,
Sntb1,,
Gm13613,RGC high THY/CD ratio,RGC high THY/CD ratio
Bcl6,,
1700066M21Rik,"RGC high THY/CD ratio, stress","RGC high THY/CD ratio, Howell shows lower expression in D2 retina glaucoma whan wildtype GPNMB as early stages"
Gm15756,"RGC high THY/CD ratio, stress",RGC high THY/CD ratio
Jund,"Muller, microglia",
Pts,,
Nt5dc2,RGC candidate Dec18,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
C030037D09Rik,RGC high THY/CD ratio,good THY1/CD15 ratio
1700085C21Rik,RGC high THY/CD ratio,RGC high THY/CD ratio
Nacc2,,
Osmr,"RGC candidate, stress, microglia, endothelium, fibroblast",
Rbp3,RGC high THY/CD ratio,"RGC high THY/CD ratio, however very low RGC:retina ratio in Geisert data"
Rras,,
Gm27435,SY_informative,SY_informative
Pros1,,
Reck,,
Tubb4b,,
Tmem176b,Fibroblast,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Raxos1,RGC high THY/CD ratio,RGC high THY/CD ratio. Antisense of RAX. see 15703187. 
Ier3,,
Gbe1,,
Ndrg1,"Horizontal, RGC candidate","Macosko considers this a horizontal cell marker, RGC high THY/CD ratio"
mt-Tg,Mitochondrial,SY_informative
Chadl,,
Chd7,RGC prime candidate,Possible (anti) retinal ganglion cell marker or neuronal stress or age marker. High negative covariation with Thy1 in Lu's glaucoma-aging retinal expression data of 2016. But good RGC enrichment in Geisert data
Fam166a,,
Rgs6,"RGC housekeeping, stress",High RGC enriched expression relative whole retina in Geisert data
Ahnak,Endothelium,
8-Sep,Horizontal,
Ctsh,"RGC candidate, stress, microglia, endothelium, fibroblast","SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75, Howell stress marker with higher expression in D2 at early stage of disease. Macosko as fibroblast marker"
Scd2,"RGC candidate Dec18, mixed",SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
S100a6,"RGC high THY/CD ratio, stress","Very high Howell stress marker with lower expression in D2 at early stage of disease, SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75, very low RGC/retina ratio in Geisert by good THY1/CD15 ratio"
Apoe,"RGC housekeeping, Muller","Shekar 2016 as Muller glial cell signature, Wang et al 2007 reports in RGC signature: PMC2885852, Macosko PC10.04"
Mest,Fibroblast,
Myo6,"Horizontal, astrocyte",
Popdc3,,
Gulp1,,
Oxnad1,,
Fam107a,RGC high THY/CD ratio,RGC high THY/CD ratio
Syt10,Amacrine,
Col27a1,"RGC high THY/CD ratio, stress, horizontal","Macosko as horizontal cell marker, Howell stress marker with lower expression in D2 at early stage of disease, RGC high THY/CD ratio"
Gm11149,,
5031439G07Rik,RGC candidate,"HSA_ThyRbpms_Cov,  "
5031439G07Rik,,
Enho,,
Lgals1,,
Hspa1b,"RGC mixed, stresed, amacrine","Kunzevitzky, other, and Geisert. Moderate RGC expression in Pete Williams and stress-up response."
Nkd1,"RGC high THY/CD ratio, stress","Good THY/CD ratio, stress, Howell stress marker with lower expression in D2 at early stage of disease"
Sorbs2os,,
Tmbim1,,
Tns3,,
Tmem176a,"RGC high THY/CD ratio, stress","RGC high THY/CD ratio, Howell stress marker with higher expression in D2 at early stage of disease"
Ttc12,RGC high THY/CD ratio,RGC high THY/CD ratio
Mpdz,,
Cys1,RGC master,"RGC_Type4_RT with 7 other genes; Geisert, High covariation with NF eigengene and with Macosko RGC39 eigengene, High covariation in Lu Glaucoma-Aging retina data set "
Six5,RGC high THY/CD ratio,RGC high THY/CD ratio
St3gal4,,
Tiparp,RGC master,RGC_Type_23
Pfn2,"RGC candidate Dec18, Muller",
Ephx2,RGC candidate Dec18,
Aass,RGC high THY/CD ratio,RGC high THY/CD ratio
Wdsub1,,
Ksr1,,
Gstk1,,
Trim2,"RGC housekeeping, stress",
Slc31a2,,
Lgals3,Astrocyte,Nguyen et al 2011 upregulated in astrocytes in D2mouse during glaucoma. SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Hist1h4h,"RGC high THY/CD ratio, stress","RGC high THY/CD ratio, Howell shows higher expression in D2 retina glaucoma whan wildtype GPNMB as early stages"
2300009A05Rik,,
1700060O08Rik,RGC high THY/CD ratio,RGC high THY/CD ratio
Eci2,,
Bbip1,,
Msmo1,RGC candidate Dec18,
Enpp2,Muller,
Crlf3,,
Oaf,,
Sgcb,,
Mir7050,RGC high THY/CD ratio,RGC high THY/CD ratio
Vegfa,"RGC mixed, stressed, pericyte, endothelium", 
Aldh1l1,RGC candidate,RGC_Type_29
Kremen1,,
Gm38287,RGC high THY/CD ratio,RGC high THY/CD ratio
Sorbs2,Housekeeping,
Ddr1,Muller,
Fam129b,,
Rcbtb2,,
Ablim2,RGC candidate,Wiki_RGC  
Bambi,"RGC high THY/CD ratio, stress","RGC high THY/CD ratio, Howell shows higher expression in D2 retina glaucoma whan wildtype GPNMB as early stages"
Dcun1d4,"RGC candidate, stress",
Axl,,
C130071C03Rik,,
Rcn2,"Horizontal, Muller",
Gm4524,RGC high THY/CD ratio,RGC high THY/CD ratio
Sh3pxd2b,,
Rftn2,,
mt-Atp6,Mitochondrial,SY_informative
Chrna2,RGC high THY/CD ratio,RGC high THY/CD ratio
Nrarp,RGC high THY/CD ratio,RGC high THY/CD ratio
Srebf1,,
Pdgfrb,Pericyte,
Tox,Housekeeping,
Ifngr1,"RGC high THY/CD ratio, microglia","RGC high THY/CD ratio, Macosko considers this a microglial cell marker"
Flot1,"RGC candidate, stress",
Cplx4,Unknown,GeneNetwork
Tspan15,"RGC candidate, stress",
Cdon,RGC candidate Dec18,
Tlr3,"RGC high THY/CD ratio, stress","RGC high THY/CD ratio, Howell stress marker with higher expression in D2 at early stage of disease"
Cd164,,
Capn12,,
Arhgef10,"RGC high THY/CD ratio, stress","Howell stress marker with lower expression in D2 at early stage of disease, very low RGC/retina ratio, good THY1/CD15 ratio"
Ush1c,RGC high THY/CD ratio,RGC high THY/CD ratio
mt-Co3,Mitochondrial,SY_informative
Ell2,,
Gm17233,,
Aldoc,Amacrine,
Chchd7,,
Adgra2,,
Mcee,,
Shisa9,"RGC candidate, stress",
Ccnd3,,
Fam69c,,
Man2a2,,
Prodh,,
Smo,,
Snx10,,
Insig1,,
Wwtr1,Endothelium,
Cyp4f13,,
Tmem47,Astrocyte,
Ifit3b,,
Lrrc58,"Microglia, pericyte, endothelium",
Vimp,,
Svip,RGC candidate Dec18,
Dhrs7,RGC candidate Dec18,
Prex2,Housekeeping,
Guf1,RGC candidate,BXD_Thy1_Cov
mt-Atp8,Mitochondrial,SY_informative
Fbxo33,,
Col18a1,"RGC candidate, Fibroblast","Conflict with Rheaume, RGC_Type_32, Fibroblast"
Gpr108,RGC prime candidate,High covariation with Rbpms
Gfra2,RGC candidate,BXD_Thy1_Cov
Igsf11,,
Adamtsl1,,
Ccnl1,,
Itfg3,RGC candidate Dec18,
St3gal1,RGC high THY/CD ratio,RGC high THY/CD ratio
Sema5b,,
Apoc4,,
Cphx3,,
Syn3,RGC housekeeping,"Highly enriched RGC expression relative whole retina in Geisert data, BXD_Thy1_Cov"
Gm3336,,
Lrrc75a,,
Fam120aos,,
Slc3a2,"Endothelium, vascular",
Mir99a,RGC high THY/CD ratio,RGC high THY/CD ratio
Mir125b-2,RGC high THY/CD ratio,RGC high THY/CD ratio
Atf5,,
Slc27a1,,
Spaca6,,
Dynlt3,,
1810009A15Rik,,
mt-Tk,Mitochondrial,SY_informative
Cml1,,
Inhba,,
RP23-20K24.11,,
Fads1,RGC candidate Dec18,
Pet100,,
Emd,,
Gtf2f2,,
Gm15270,RGC high THY/CD ratio,RGC high THY/CD ratio
Glb1l2,Unknown,GeneNetwork
Txndc17,RGC candidate Dec18,
Zfp467,,
Psat1,RGC candidate,
2700081O15Rik,RGC candidate Dec18,
Slc39a1,,
Vwa5a,"RGC high THY/CD ratio, stress, astrocyte","RGC high THY/CD ratio, Howell stress marker with higher expression in D2 at early stage of disease"
Xaf1,,
Prdm5,,
Epha4,,
Abhd17b,,
Gm17035,RGC high THY/CD ratio,good THY1/CD15 ratio
Ctdsp1,,
Rp1,"Photoreceptor, rod",
Aldh3a2,,
Tex261,,
Fam118a,,
Hist1h2bh,RGC high THY/CD ratio,RGC high THY/CD ratio
Mfhas1,,
Stab1,,
Smpd2,,
Llgl1,,
Slc15a2,,
Arrdc2,,
Zcchc24,"RGC candidate, stress","RGC high THY/CD ratio, Howell stress marker with higher expression in D2 at early stage of disease"
Gsap,,
Cntf,,
Gm17750,,
Slc7a8,,
Ubald1,,
Foxo1,RGC master,RGC_Type_25 
Slc13a5,RGC high THY/CD ratio,RGC high THY/CD ratio
Six3os1,Amacrine,
Mirlet7c-1,RGC high THY/CD ratio,RGC high THY/CD ratio
Lppos,RGC high THY/CD ratio,RGC high THY/CD ratio
Actn4,"RGC candidate, stress, endothelium",
Akt2,,
Hist1h2be,,
Myh14,,
Fundc1,,
Pmp22,"RGC mixed, astrocyte","Wiki_RGC,  "
2610203C20Rik,,
Asrgl1,,
Cdhr1,RGC master,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Cdhr1,Unknown,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Nr2e3,"Photoreceptor, rod",
Opa3,,
mt-Tl2,"RGC candidate, stressed","SY TSNE cluster 70L, very high RGC/retina enrichment from Geisert, high expression, but generic transcript"
Pmm1,RGC candidate Dec18,
Ccl4,"Microglia, retinal stress",Macosko 2015 
Ginm1,Pericyte,
Gna14,"RGC master, stress","Rheaume RGC_Type_25 .Howell stress marker with higher expression in D2 at early stage of disease, r = 0.82 (delta of 0.3 iog2 units)"
Plp2,RGC high THY/CD ratio,good THY1/CD15 ratio but low RGC/retina ratio
Mut,,
Crx,"Photoreceptor, mixed","Cepko, many"
Eef1d,,
Efna1,,
Tmem218,,
Lrsam1,,
Dhrs1,,
Ldah,,
Hddc3,,
E2f6,"RGC high THY/CD ratio, stress","RGC high THY/CD ratio, Howell stress marker with higher expression in D2 at early stage of disease"
Clrn1,RGC candidate,RGC_Type_32
Fanci,,
Gucy2e,,
Sorcs1,"Housekeeping, amacrine",
Ccdc141,,
Ccdc50,,
Lincpint,,
H1f0,RGC candidate Dec18,
Usp2,,
Mir1938,RGC high THY/CD ratio,RGC high THY/CD ratio
Clic1,Endothelium,
Trim9,Amacrine,
